cancer.lung.sa2,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
11001,-0.1131,0.3496914787374387,0.0643,0.25066670870685764,0.02,0.25066670870685764
11002,-0.111,0.2752683994642263,-0.2493,0.34680526940601586,-0.2324,0.3256891191029538
11003,0.0685,0.13700372198000588,-0.2039,0.3062779694867186,-0.046,0.15756411910295384
11004,-0.2824,0.3127147999521347,-0.0711,0.17963248296210427,-0.175,0.22817293695195284
11005,0.1079,0.37511792087799867,-0.1888,0.5446995655950514,-0.0231,0.4141885619519528
11006,0.1374,0.3505325069836336,-0.2296,0.5420344273219032,-0.0278,0.42160420870685766
11007,0.0425,0.1769762329621043,-0.1913,0.2880500523219032,-0.1025,0.23559747198000588
11008,-0.0986,0.4788365194060158,0.0061,0.40729964946422637,-0.0028,0.39759455571535357
11009,0.148,0.4895785278576767,-0.0286,0.5815965244642263,0.1199,0.4724075069836336
11010,-0.0886,0.37766022873743876,-0.0842,0.3568256607045002,-0.0697,0.33653231195195277
11011,-0.2943,0.3071679249521347,-0.1971,0.2532672441029538,-0.312,0.3071679249521347
11012,-0.3085,0.4688961739284527,-0.011,0.29456527446422637,-0.1565,0.3554727287374388
11013,0.0286,0.22237777446422632,-0.047,0.2522380969800059,9e-4,0.21267268071535356
11014,-0.4342,0.6988111503406012,0.1869,0.33902608370685766,-0.1217,0.4594563023219032
11015,-0.0277,0.21376643071535353,-0.0401,0.21376643071535353,-0.0034,0.17610853867013665
11016,-0.085,0.2470396444060158,-0.1283,0.2578156773219032,-0.1356,0.23641022873743875
11017,0.3163,0.025195574885548012,0.2873,0.057416636240273884,0.364,-0.035514569120167865
11018,0.2375,-0.09951406678105064,0.1899,-0.05772603166309273,0.2608,-0.13917994597903757
11019,0.3804,0.28893843574879335,-0.017,0.5264350357045002,0.2377,0.33582750584742854
11020,0.1513,0.1517043819836336,0.1105,0.1688754028576768,0.2158,0.094414324885548
11021,0.0052,0.08963816070450023,0.0184,0.07942559698000586,-0.0403,0.07942559698000586
11022,0.0145,0.24798619806333583,-0.0059,0.23815902446422632,0.0211,0.2188679208779987
11023,0.5332,0.1616580498116778,-0.0234,0.47485214440601586,0.3596,0.22121067902096245
11024,0.1084,0.07447954394996212,0.0852,0.07447954394996212,0.1146,0.0485793819836336
11025,0.4497,0.02639247443418038,0.0373,0.27691479587799867,0.3309,0.06174918661239969
11026,0.384,-0.1652266907573688,0.1985,-0.03606733105003789,0.382,-0.1944357001883222
11027,-0.1505,0.4537583944060158,0.0836,0.33485853867013665,-0.0316,0.35346060796210427
11028,-0.0448,0.18008210373743877,-0.1251,0.21241430386466875,-0.1308,0.1907115194060158
11029,0.0792,0.17364224010430288,-0.145,0.3107115194060158,-0.0534,0.22946955571535352
11030,-0.0369,0.14689810796210429,0.0194,0.11012661510430286,-0.0084,0.11915850760514349
11031,-0.1187,0.1727041869519528,0.3921,-0.11688877556581961,0.1815,-0.02140625
11032,-0.0044,0.21699483370685765,0.2049,0.09656461509181209,0.0949,0.13747710377721514
11033,0.0633,0.2493133057153535,0.0561,0.23972729587799865,0.0491,0.22090108370685768
11034,0.3262,-0.016686564251206584,0.21,0.04647913624027389,0.3466,-0.05371956338760031
11035,0.1497,0.12356411510430286,0.209,0.07146147877721513,0.2505,0.03856188084742857
11036,0.0956,0.06364224010430286,-0.0292,0.12917464946422633,0.0047,0.09105733370685766
11037,0.2674,0.21983851124027387,0.0476,0.34439143071535355,0.1783,0.23646147877721513
11038,-0.1713,0.44349809890400405,0.1566,0.24845538260514347,-0.0406,0.3247354369519528
11039,-0.5248,0.422045699416361,0.1442,0.051375402857676784,-0.2544,0.2477147999521347
11040,-0.0665,0.16470393071535352,0.1494,0.04841828415475588,0.0202,0.10887661510430284
11041,-0.54,0.43764542142485696,0.0695,0.08321791367013667,-0.3603,0.3049117989284527
11042,0.5036,-0.04704809124527702,0.0389,0.21322100760514348,0.3451,0.01385936302793527
11043,0.1728,0.0461575069836336,0.1207,0.07205766894996211,0.1384,0.02935578415475588
11044,0.0933,0.2561410278576768,0.3607,0.11370231161239969,0.2221,0.15073531074879343
11045,0.3151,0.07257607242485957,0.5549,-0.06730535839466029,0.4896,-0.05439184124527703
11046,0.9194,-0.21830782518135958,0.7629,-0.1132841774551565,0.9602,-0.2613232761055996
11047,-0.2406,0.23029292495213471,0.0334,0.07860853867013667,-0.1834,0.17639224410295382
11048,0.343,0.017922930879832138,0.7151,-0.19208768486032257,0.5511,-0.12815798310435994
11049,-0.0719,0.2260662219800059,0.1876,0.061947886240273885,0.0323,0.13970538260514348
11050,0.2998,-0.13278031425120657,0.6998,-0.35563339050002624,0.556,-0.30254693588400455
11051,-0.319,0.32877770280981145,8e-4,0.14214339946422633,-0.2727,0.2806855989040041
11052,0.1543,-0.17685856928464644,0.6117,-0.4300224103960963,0.3993,-0.3645771892512066
11053,0.7074,0.11048164127413031,0.4207,0.28764829702787115,0.618,0.12765266214817333
11054,0.4627,0.21522059943418037,0.4495,0.24337679981167779,0.4524,0.18804394624244944
11055,-0.3593,0.3788481435671803,0.2053,0.053445843336907266,-0.1257,0.22563339440601582
11056,-0.0976,0.39014224410295384,0.3275,0.1422978107487934,0.0636,0.26526044649209757
11057,0.0101,0.2827683994642264,0.3524,0.09296669742485958,0.1705,0.16513335377721514
11058,0.0094,0.10339917087799867,-0.2953,0.28490852819722984,-0.1433,0.16276316070450023
11059,-0.3028,0.408747126417797,-0.4349,0.4896382818403285,-0.4649,0.4617335298074542
11060,-0.037,0.2406647958779987,-0.1304,0.2797354369519528,-0.0863,0.2502508057153535
11061,-0.1202,0.3724302694060158,0.0171,0.2816022958779987,-0.0069,0.2816022958779987
11062,0.2125,0.21798593321894935,0.0229,0.31306166367013666,0.1713,0.21798593321894935
11063,0.4341,0.37432731161239974,0.1228,0.5894929208779988,0.3925,0.3889305405281439
11064,0.15310000000000001,0.30700835377721514,-0.0941,0.44442293695195284,0.0738,0.3326254028576768
11065,0.1968,0.2562671832189493,-0.0287,0.3794147958779987,0.1279,0.27271515915475586
11066,0.0885,0.47471060796210435,-0.1641,0.5967111788646687,-0.0289,0.5034715244642264
11067,0.1043,0.2838698337068577,0.1016,0.2838698337068577,0.1265,0.22996915285767677
11068,0.1419,0.3111201689499621,-0.0279,0.3944090244642264,0.0779,0.3288766151043028
11069,0.1214,0.3685629028576768,-0.1451,0.5110016191029538,-0.0253,0.4318199829621043
11070,0.4925,0.1213578575194073,0.0289,0.41470494806333574,0.3314,0.1924295592426312
11071,0.2391,0.09368905821894935,0.005,0.21683667087799866,0.2108,0.08559313084742858
11072,0.1689,0.41431166367013667,-0.4381,0.768739171424857,-0.14,0.5225821037374387
11073,0.15310000000000001,0.14002607149209756,0.1115,0.14002607149209756,0.2615,0.04800807488554801
11074,0.244,0.10640625,-0.0401,0.2614460458779987,0.1946,0.114258074885548
11075,NA,NA,NA,NA,NA,NA
11076,0.1364,0.2954085076051435,0.1512,0.28637661510430285,0.2445,0.19336149009181208
11077,0.099,0.5054948214920975,-0.1092,0.6303766191029538,-0.0242,0.5325929136701366
11078,0.2983,0.5291427400918121,0.1058,0.6403272886701367,0.2572,0.513359375
11079,0.14,0.26771515915475586,-0.0856,0.3840008057153535,0.0495,0.30168790285767677
11080,0.2618,0.29290780821894935,-0.1919,0.5738887239040041,0.0716,0.3261575069836336
11081,0.0583,0.11582852785767678,0.0955,0.09865750698363361,0.132,0.057311880847428574
11082,0.4719,0.05521753375472298,0.0824,0.2886982939499621,0.3848,0.08846723251940733
11083,-3e-4,0.16886792087799868,0.1702,0.07052397877721514,0.1028,0.08750834333690727
11084,0.2427,-0.08288850990818791,0.3555,-0.1441944594718561,0.3289,-0.16599820018832218
11085,0.2147,0.02771515915475588,0.171,0.044516881983633606,0.1801,0.011267183218949348
11086,0.0916,0.09588544649209757,0.1393,0.06969584333690725,0.1105,0.06969584333690725
11087,-0.076,0.3509458944060158,0.1007,0.2320460386701367,0.0134,0.26970393071535353
11088,0.1995,0.024383343336907254,0.191,0.03301602785767678,0.2172,-0.009223988759726113
11089,-0.0885,0.1894705730633358,0.3302,-0.03280481575736879,0.1303,0.04538538624027389
11090,0.333,0.06003932488554801,0.2577,0.10888335377721514,0.3791,-6.70819120167864e-4
11091,0.375,-0.11293644412016786,0.1909,0.005063756983633607,0.3625,-0.13453920297212885
11092,0.2358,0.25537140915475587,0.2507,0.2308275058474286,0.4003,0.1397049248116778
11093,0.2646,0.22561976124027389,0.2619,0.2093431308474286,0.4047,0.1254210616123997
